"AS","602531","Set code","one"
"AS","602531","Image URL","https://cards.scryfall.io/large/front/3/c/3cd8dd4e-6892-49d7-8fae-97d04f9f6c84.jpg?1675956885"
"AS","602531","Scryfall URL","https://scryfall.com/card/one/1/against-all-odds"
"AS","602531","Artist","Rudy Siswanto"
"AS","602531","Type","Sorcery"
"AS","602531","Rarity","U"
"AS","602531","Mana cost","{3}{W}"
"AS","602531","Set number","1"
"AS","602531","Name","Against All Odds"
"AS","602532","Set code","one"
"AS","602532","Image URL","https://cards.scryfall.io/large/front/0/4/04baad61-1b51-4602-9e33-0de4a9f34793.jpg?1675956886"
"AS","602532","Scryfall URL","https://scryfall.com/card/one/2/annex-sentry"
"AS","602532","Artist","David Astruga"
"AS","602532","Type","Artifact Creature — Phyrexian Cleric"
"AS","602532","Rarity","U"
"AS","602532","Mana cost","{2}{W}"
"AS","602532","Set number","2"
"AS","602532","Name","Annex Sentry"
"AS","602533","Set code","one"
"AS","602533","Image URL","https://cards.scryfall.io/large/front/8/a/8a973487-5def-4771-bb77-5748cbd2f469.jpg?1675956886"
"AS","602533","Scryfall URL","https://scryfall.com/card/one/3/apostle-of-invasion"
"AS","602533","Artist","Marcela Bolívar"
"AS","602533","Type","Creature — Phyrexian Angel"
"AS","602533","Rarity","U"
"AS","602533","Mana cost","{4}{W}{W}"
"AS","602533","Set number","3"
"AS","602533","Name","Apostle of Invasion"
"AS","602534","Set code","one"
"AS","602534","Image URL","https://cards.scryfall.io/large/front/8/1/81ef3cfa-63e6-4450-af65-da7f05d13cf3.jpg?1675956886"
"AS","602534","Scryfall URL","https://scryfall.com/card/one/4/basilica-shepherd"
"AS","602534","Artist","Allen Williams"
"AS","602534","Type","Creature — Phyrexian Angel"
"AS","602534","Rarity","C"
"AS","602534","Mana cost","{3}{W}{W}"
"AS","602534","Set number","4"
"AS","602534","Name","Basilica Shepherd"
"AS","602535","Set code","one"
"AS","602535","Image URL","https://cards.scryfall.io/large/front/0/b/0bd8d2b8-4caf-4349-9538-0dfbebf0ce1b.jpg?1675956886"
"AS","602535","Scryfall URL","https://scryfall.com/card/one/5/bladed-ambassador"
"AS","602535","Artist","Nino Vecia"
"AS","602535","Type","Creature — Phyrexian Soldier"
"AS","602535","Rarity","U"
"AS","602535","Mana cost","{1}{W}"
"AS","602535","Set number","5"
"AS","602535","Name","Bladed Ambassador"
"AS","602536","Set code","one"
"AS","602536","Image URL","https://cards.scryfall.io/large/front/4/2/42060b9d-de58-485e-817a-1e64839943aa.jpg?1675956894"
"AS","602536","Scryfall URL","https://scryfall.com/card/one/6/charge-of-the-mites"
"AS","602536","Artist","Vladimir Krisetskiy"
"AS","602536","Type","Instant"
"AS","602536","Rarity","C"
"AS","602536","Mana cost","{2}{W}"
"AS","602536","Set number","6"
"AS","602536","Name","Charge of the Mites"
"AS","602537","Set code","one"
"AS","602537","Image URL","https://cards.scryfall.io/large/front/2/b/2bb29a69-3e42-4268-8026-f01072d7b56c.jpg?1675956894"
"AS","602537","Scryfall URL","https://scryfall.com/card/one/7/compleat-devotion"
"AS","602537","Artist","Filipe Pagliuso"
"AS","602537","Type","Instant"
"AS","602537","Rarity","C"
"AS","602537","Mana cost","{1}{W}"
"AS","602537","Set number","7"
"AS","602537","Name","Compleat Devotion"
"AS","602538","Set code","one"
"AS","602538","Image URL","https://cards.scryfall.io/large/front/a/a/aace4c44-7250-414b-aac4-df042a1e2e1d.jpg?1675956894"
"AS","602538","Scryfall URL","https://scryfall.com/card/one/8/crawling-chorus"
"AS","602538","Artist","Michael Walsh"
"AS","602538","Type","Creature — Phyrexian Horror"
"AS","602538","Rarity","C"
"AS","602538","Mana cost","{W}"
"AS","602538","Set number","8"
"AS","602538","Name","Crawling Chorus"
"AS","602539","Set code","one"
"AS","602539","Image URL","https://cards.scryfall.io/large/front/5/6/56444440-a9e6-4583-a289-9f0571a98093.jpg?1675956894"
"AS","602539","Scryfall URL","https://scryfall.com/card/one/9/duelist-of-deep-faith"
"AS","602539","Artist","Marcela Bolívar"
"AS","602539","Type","Creature — Phyrexian Soldier"
"AS","602539","Rarity","C"
"AS","602539","Mana cost","{1}{W}"
"AS","602539","Set number","9"
"AS","602539","Name","Duelist of Deep Faith"
"AS","602540","Set code","one"
"AS","602540","Image URL","https://cards.scryfall.io/large/front/4/4/44dcab01-1d13-4dfc-ae2f-fbaa3dd35087.jpg?1675956896"
"AS","602540","Scryfall URL","https://scryfall.com/card/one/10/elesh-norn-mother-of-machines"
"AS","602540","Artist","Martina Fačková"
"AS","602540","Type","Legendary Creature — Phyrexian Praetor"
"AS","602540","Rarity","M"
"AS","602540","Mana cost","{4}{W}"
"AS","602540","Set number","10"
"AS","602540","Name","Elesh Norn, Mother of Machines"
"AS","602541","Set code","one"
"AS","602541","Image URL","https://cards.scryfall.io/large/front/9/0/905f0dd4-0197-45f8-8e7f-396d6dcef600.jpg?1675956901"
"AS","602541","Scryfall URL","https://scryfall.com/card/one/11/the-eternal-wanderer"
"AS","602541","Artist","Alix Branwyn"
"AS","602541","Type","Legendary Planeswalker"
"AS","602541","Rarity","R"
"AS","602541","Mana cost","{4}{W}{W}"
"AS","602541","Set number","11"
"AS","602541","Name","The Eternal Wanderer"
"AS","602542","Set code","one"
"AS","602542","Image URL","https://cards.scryfall.io/large/front/1/3/134aecf0-dc48-4fb3-8c8b-4e5272077856.jpg?1675956901"
"AS","602542","Scryfall URL","https://scryfall.com/card/one/12/flensing-raptor"
"AS","602542","Artist","Abz J Harding"
"AS","602542","Type","Creature — Phyrexian Bird"
"AS","602542","Rarity","C"
"AS","602542","Mana cost","{2}{W}"
"AS","602542","Set number","12"
"AS","602542","Name","Flensing Raptor"
"AS","602543","Set code","one"
"AS","602543","Image URL","https://cards.scryfall.io/large/front/f/4/f4057210-ef07-4496-94c8-95c3b807c23c.jpg?1675956901"
"AS","602543","Scryfall URL","https://scryfall.com/card/one/13/goldwardens-helm"
"AS","602543","Artist","Vincent Christiaens"
"AS","602543","Type","Artifact — Equipment"
"AS","602543","Rarity","C"
"AS","602543","Mana cost","{2}{W}"
"AS","602543","Set number","13"
"AS","602543","Name","Goldwarden's Helm"
"AS","602544","Set code","one"
"AS","602544","Image URL","https://cards.scryfall.io/large/front/c/4/c498dbf9-c68c-400c-9349-c3c3fc8efcae.jpg?1675956902"
"AS","602544","Scryfall URL","https://scryfall.com/card/one/14/hexgold-hoverwings"
"AS","602544","Artist","Kai Carpenter"
"AS","602544","Type","Artifact — Equipment"
"AS","602544","Rarity","U"
"AS","602544","Mana cost","{3}{W}"
"AS","602544","Set number","14"
"AS","602544","Name","Hexgold Hoverwings"
"AS","602545","Set code","one"
"AS","602545","Image URL","https://cards.scryfall.io/large/front/b/3/b3cf4c4f-bda6-454c-991d-429c0dca0e85.jpg?1675956905"
"AS","602545","Scryfall URL","https://scryfall.com/card/one/15/incisor-glider"
"AS","602545","Artist","Joe Slucher"
"AS","602545","Type","Artifact Creature — Phyrexian Construct"
"AS","602545","Rarity","C"
"AS","602545","Mana cost","{1}{W}"
"AS","602545","Set number","15"
"AS","602545","Name","Incisor Glider"
"AS","602546","Set code","one"
"AS","602546","Image URL","https://cards.scryfall.io/large/front/d/0/d051bfc7-b402-444d-896e-c3a9562cdb0d.jpg?1675956909"
"AS","602546","Scryfall URL","https://scryfall.com/card/one/16/indoctrination-attendant"
"AS","602546","Artist","Sam Wolfe Connelly"
"AS","602546","Type","Creature — Phyrexian Cleric"
"AS","602546","Rarity","C"
"AS","602546","Mana cost","{3}{W}"
"AS","602546","Set number","16"
"AS","602546","Name","Indoctrination Attendant"
"AS","602547","Set code","one"
"AS","602547","Image URL","https://cards.scryfall.io/large/front/9/f/9f03d6bf-cbba-4ad7-8cec-065a47f03dbe.jpg?1675956910"
"AS","602547","Scryfall URL","https://scryfall.com/card/one/17/infested-fleshcutter"
"AS","602547","Artist","José Parodi"
"AS","602547","Type","Artifact — Equipment"
"AS","602547","Rarity","U"
"AS","602547","Mana cost","{1}{W}"
"AS","602547","Set number","17"
"AS","602547","Name","Infested Fleshcutter"
"AS","602548","Set code","one"
"AS","602548","Image URL","https://cards.scryfall.io/large/front/b/0/b00ea7bb-705b-4669-bb2a-560bed04b14a.jpg?1675956910"
