"AA","1000","Department","Total Organization"
"AA","1000","Department_English","Total Organization"
"AA","1000","Department_German","Unternehmen gesamt"
"AA","1000","Department_French","Total Entité"
"AA","1000","Department_Japanese","全部門"
"AA","1000","Department_Italian","Totale organizzazione"
"AA","1000","Department_Spanish","Total organización"
"AA","1000","Department_ChineseSimplified","机构总计"
"AA","1000","Department_Brasilian","Total da Organização"
"AA","1000","Department_ChineseTraditional","整個組織"
"AA","1000","Department_Croatian","Ukupno organizacija"
"AA","1000","Department_Czech","Celkem za organizaci"
"AA","1000","Department_Danish","Total organisation"
"AA","1000","Department_Finnish","Koko organisaatio"
"AA","1000","Department_Hungarian","Teljes szervezet"
"AA","1000","Department_Korean","전체 조직"
"AA","1000","Department_Norwegian","Hele organisasjonen"
"AA","1000","Department_Polish","Organizacja łącznie"
"AA","1000","Department_Romanian","Total Organizaţie"
"AA","1000","Department_Russian","Организация - Всего"
"AA","1000","Department_Swedish","Summa organisationen"
"AA","1000","Department_Turkish","Toplam Kuruluş"
"AA","100","Department","Sales"
"AA","100","Department_English","Sales"
"AA","100","Department_German","Vertrieb"
"AA","100","Department_French","Ventes"
"AA","100","Department_Japanese","売上"
"AA","100","Department_Italian","Vendite"
"AA","100","Department_Spanish","Ventas"
"AA","100","Department_ChineseSimplified","销量"
"AA","100","Department_Brasilian","Vendas"
"AA","100","Department_ChineseTraditional","銷售"
"AA","100","Department_Croatian","Prodaja"
"AA","100","Department_Czech","Prodej"
"AA","100","Department_Danish","Salg"
"AA","100","Department_Finnish","Myynti"
"AA","100","Department_Hungarian","Értékesítés"
"AA","100","Department_Korean","영업"
"AA","100","Department_Norwegian","Salg"
"AA","100","Department_Polish","Sprzedaż"
"AA","100","Department_Romanian","Vânzări"
"AA","100","Department_Russian","Продажи"
"AA","100","Department_Swedish","Försäljning"
"AA","100","Department_Turkish","Satışlar"
"AA","105","Department","Direct"
"AA","105","Department_English","Direct"
"AA","105","Department_German","direkt"
"AA","105","Department_French","Direct"
"AA","105","Department_Japanese","直接"
"AA","105","Department_Italian","Dirette"
"AA","105","Department_Spanish","Directas"
"AA","105","Department_ChineseSimplified","直接"
"AA","105","Department_Brasilian","Direto"
"AA","105","Department_ChineseTraditional","直接"
"AA","105","Department_Croatian","Izravna"
"AA","105","Department_Czech","Přímý"
"AA","105","Department_Danish","Direkte"
"AA","105","Department_Finnish","Suora"
"AA","105","Department_Hungarian","Közvetlen"
"AA","105","Department_Korean","직접"
"AA","105","Department_Norwegian","Direkte"
"AA","105","Department_Polish","Bezpośrednio"
"AA","105","Department_Romanian","Directe"
"AA","105","Department_Russian","Прямой"
"AA","105","Department_Swedish","Direkt"
"AA","105","Department_Turkish","Dolaysız"
"AA","110","Department","Indirect"
"AA","110","Department_English","Indirect"
"AA","110","Department_German","indirekt"
"AA","110","Department_French","Indirect"
"AA","110","Department_Japanese","間接"
"AA","110","Department_Italian","Indirette"
"AA","110","Department_Spanish","Indirectas"
"AA","110","Department_ChineseSimplified","间接"
"AA","110","Department_Brasilian","Indireto"
"AA","110","Department_ChineseTraditional","間接"
"AA","110","Department_Croatian","Neizravna"
"AA","110","Department_Czech","Nepřímý"
"AA","110","Department_Danish","Indirekte"
"AA","110","Department_Finnish","Välillinen"
"AA","110","Department_Hungarian","Közvetett"
"AA","110","Department_Korean","간접"
"AA","110","Department_Norwegian","Indirekte"
